Name,Icon (Male),Icon (Female),Equip Slot,Info,Caption,Weight,Damage Negation (Physical),Damage Negation (VS Strike),Damage Negation (VS Slash),Damage Negation (VS Pierce),Damage Negation (Magic),Damage Negation (Fire),Damage Negation (Lightning),Damage Negation (Holy),Immunity (Poison and Rot),Robustness (Blood),Frost,Focus (Madness),Sleep,Vitality (Death Blight),Poise,Sell Price,Drop Type,Obtainable,ID,Armor Set ID,Armor ID,Icon ID (Male),Icon ID (Female),Armor Category,Sort Group ID,Sort ID,Resident SpEffect ID [1],Resident SpEffect ID [2],Resident SpEffect ID [3],Passive Effect
Night Maiden Armor,,-,Body,Tunic worn by members of the Empyrean family,"Armor worn by the nightmaidens of the Eternal City. Indicates the highest clerical rank, and includes a silk cape. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",8.3,8.0,9.5,8.0,10.2,12.4,11.4,11.9,12.4,63,38,-,55,-,55,6,200,White,Yes,293100,29,3100,15461,15461,1,50,604160,-1,-1,-1,
Champion Pauldron,,-,Body,Pauldron reserved for the badlands' bravest,"Pauldron reserved for the badlands' bravest. Proof that the wearer has slaughtered countless foes. Following the example of their chieftain Hoarah Loux, the brave warriors of the badlands shun excess adornment.",5.1,6.1,8.0,6.7,7.1,7.1,8.8,9.5,8.8,46,28,-,38,-,35,3,100,White,Yes,730100,73,0100,14121,14121,1,50,604170,-1,-1,-1,
Chain Armor,,,Body,Chest piece made of woven chain,"Armor made of woven chain. Standard issue for ordinary soldiers. Though plain in appearance, it offers dependable protection.",8.8,11.9,8.8,12.9,11.9,7.1,10.9,6.1,8.0,25,42,-,11,-,18,12,200,White,Yes,1100100,110,0100,14891,14896,1,60,605000,-1,-1,-1,
Dirty Chainmail,,-,Body,Chainmail worn by the silent Frog People,Chainmail worn by young Albinaurics. The appearance of a protruding belly provides no benefits worthy of note.,8.8,11.4,8.8,11.9,11.4,8.0,8.8,6.1,8.0,25,50,-,21,-,21,14,100,Purple,Yes,1060100,106,0100,14801,14801,1,60,605010,-1,-1,-1,
Tree Surcoat,,-,Body,Iron armor with a blue surcoat attached,"Blue surcoat draped over chainmail. The tree insignia emblazoned on the front depicts the Erdtree, and is a design beloved throughout the Lands Between.",9.2,12.9,8.8,12.9,11.9,8.8,10.9,7.1,8.8,25,55,-,21,-,18,15,500,Purple,Yes,1102100,110,2100,14911,14911,1,60,605020,-1,-1,-1,
Eye Surcoat,,-,Body,Iron armor with a surcoat attached,Brown surcoat draped over chainmail. The insignia emblazoned on the front marks out the wearer as the eyes and ears of Sir Gideon the All-Knowing.,9.2,12.9,8.8,12.9,11.9,8.8,10.9,7.1,8.8,25,55,-,21,-,18,15,500,Purple,Yes,1101100,110,1100,14901,14901,1,60,605030,-1,-1,-1,
Tree-and-Beast Surcoat,,-,Body,Armor used by Stormveil Knights,"Armor worn by soldiers loyal to Godrick the Grafted. The surcoat depicts the distant Erdtree and the beast regent, an emblem of the golden lineage. Both are symbols of glory now past.",10.6,12.9,11.4,12.9,12.4,10.2,10.9,8.0,9.5,32,55,-,23,-,23,16,100,Purple,Yes,1700100,170,0100,15011,15011,1,60,605040,-1,-1,-1,
Cuckoo Surcoat,,-,Body,Armor used by Raya Lucaria Academy Knights,"Armor worn by Raya Lucaria Academy soldiers. The surcoat depicts twinned cuckoos peering into a flourishing mass of glintstone. To a glintstone sorcerer, the body is a transient thing. The Cuckoo alone knows its insignificance, yet watches over it all the same.",10.6,12.9,10.9,13.5,12.9,11.9,10.9,7.1,8.8,28,55,-,23,-,23,16,100,White,Yes,1710100,171,0100,15021,15021,1,60,605050,-1,-1,-1,
Redmane Surcoat,,-,Body,Armor used by Caelid Wilds Knights,"Armor worn by soldiers who fought by General Radahn's side. The surcoat depicts a red-maned lion raising a sword in the image of Radahn. Thus, they were Redmanes, and all proved they were worthy of the name.",10.6,13.5,10.9,12.4,11.9,10.2,11.4,8.0,9.5,32,50,-,23,-,24,16,100,White,Yes,1730100,173,0100,15041,15041,1,60,605060,-1,-1,-1,
Erdtree Surcoat,,-,Body,Armor used by Capital Knights,Armor worn by soldiers sworn to defend the royal capital of Leyndell. The surcoat bears a majestic likeness of the Erdtree. Its golden backing is an honor bestowed on no other soldiers.,10.6,12.9,11.9,12.4,12.9,9.5,10.2,8.8,9.5,32,55,-,23,-,23,16,100,White,Yes,1720100,172,0100,15031,15031,1,60,605070,-1,-1,-1,
Haligtree Crest Surcoat,,-,Body,Armor used by Knights of Miquella,"Armor worn by soldiers sworn to the Haligtree. The surcoat bears the crest of the Haligtree. Though watered with Miquella's own blood since it was a sapling, the Haligtree ultimately failed to grow into an Erdtree.",10.6,12.9,11.9,12.4,12.9,9.5,10.2,8.0,10.2,32,55,-,23,-,24,15,100,White,Yes,1750100,175,0100,15061,15061,1,60,605080,-1,-1,-1,
Mausoleum Surcoat,,-,Body,Armor used by Mausoleum Knights,"Armor worn by headless soldiers who endlessly guard the Wandering Mausoleum. The surcoat depicts the mausoleum bell, which rings in constant mourning for the soulless demigods.",10.6,12.9,10.9,13.5,12.4,10.2,10.2,8.8,10.2,32,50,-,23,-,21,19,100,White,Yes,1740100,174,0100,15051,15051,1,60,605090,-1,-1,-1,
Scale Armor,,-,Body,Armor composed of small metal plates,"Armor reinforced with small metal scales. The cape covering the shoulders is made with treated rock lizard skin, and provides ample protection against fire.",8.8,11.9,10.2,12.4,10.9,7.1,10.9,6.7,8.0,25,46,-,11,-,21,14,200,White,Yes,40100,4,0100,13001,13001,1,70,606000,-1,-1,-1,
Exile Armor,,-,Body,"Worn body armor, wrapped in a great cloth",Damaged armor draped with a large deep-red cloth. Worn by soldiers sent to the penal colonies.,9.2,12.4,9.5,12.9,12.4,8.0,10.9,6.7,9.5,28,55,-,21,-,18,14,100,Purple,Yes,190100,19,0100,13211,13211,1,70,606010,-1,-1,-1,
Kaiden Armor,,-,Body,Armor worn by Kaiden sellswords,"Armor worn by Kaiden sellswords. Made with the pelt of a snow-wolf, which protects against the cold. These hulking, fearless mercenaries, said to hail from the mountaintops of the wintry north, are adept at fighting on horseback. Kaiden is the name of their home settlement.",8.8,11.9,8.8,11.9,11.9,8.0,8.8,7.1,8.0,25,55,-,11,-,11,14,100,Purple,Yes,50100,5,0100,13011,13011,1,70,606020,-1,-1,-1,
Land of Reeds Armor,,-,Body,Chest piece of a warrior from the land of reeds,Armor made from strips of iron fastened together. Worn by warriors of the Land of Reeds. The grimy outer mantle is made from withered reeds from the warrior's birthplace. Perhaps its comforts extend to nostalgic thoughts of home.,8.3,8.8,9.5,11.9,9.5,10.2,11.4,11.9,10.9,60,50,-,50,-,55,6,200,Purple,Yes,870100,87,0100,14391,14391,1,70,606030,-1,-1,-1,
Land of Reeds Armor (Altered),,-,Body,Armor of a warrior from the land of reeds,"Armor made from strips of iron fastened together. Worn by warriors of the Land of Reeds. The Land of Reeds has long been locked in a miserable civil war, during which time it has remained alienated from the cultures of its neighbors. Little wonder that the entire nation has succumbed to blood-soaked madness, or so it is said.",7.8,8.0,8.8,11.4,8.8,9.5,10.9,11.4,10.2,52,42,-,42,-,45,4,200,Purple,Yes,871100,87,1100,14401,14401,1,70,606040,-1,-1,-1,
White Reed Armor,,-,Body,Stomach band of a land of reeds veteran warrior,"Armor of the White Reeds, fashioned from banded iron plates. Worn by the Inaba, head disciples of the great swordsman Okina. The Inaba traveled in pursuit of not only the master who abandoned them, but also proper deaths, won honorably through hard-fought combat. To be a White Reed is to seek death; fitting for the Inaba, who desired nothing more than to die by the sword.",8.3,9.5,10.2,11.4,8.8,10.9,10.9,11.9,10.2,67,42,-,55,-,50,8,200,Purple,Yes,872100,87,2100,14411,14411,1,70,606050,-1,-1,-1,
Ronin's Armor,,-,Body,Bloody Finger Hunter Yura's armor,"Armor of the man who calls himself Shabriri. Highly functional and heavily worn. The man, once known as Yura, kept a woman in the deepest reaches of his heart.",8.5,10.5,10.5,11.2,10.5,11.9,12.4,13.4,11.9,66,48,-,52,-,57,6,200,White,Yes,150100,15,0100,13141,13141,1,70,606060,-1,-1,-1,
Ronin's Armor (Altered),,-,Body,Bloody Finger Hunter's armor,"Armor of the man who calls himself Shabriri. Highly functional and heavily worn. The man, once known as Yura, kept a woman in the deepest reaches of his heart.",7.6,8.8,8.8,9.5,8.8,10.2,10.9,11.9,10.2,54,38,-,42,-,45,4,200,White,Yes,151100,15,1100,13151,13151,1,70,606070,-1,-1,-1,
Eccentric's Armor,,-,Body,"Deathwatch, Jerren's armor","Unusually colorful armor. Worn by the knight Jerren. Jerren preferred a nomadic existence, but after spending time as a guest of the Carian royals, he became a guest commander for General Radahn. And for the first time, the restless tumbleweed would be bound by honorable oath.",10.6,12.9,10.9,12.4,12.9,10.9,10.9,7.1,9.5,35,60,-,23,-,21,15,100,White,Yes,940100,94,0100,14551,14551,1,70,606080,-1,-1,-1,
Marionette Soldier Armor,,-,Body,Armor of lattice plate worn by marionette soldiers,"Armor of metal bands arranged in a lattice. Worn by marionette soldiers, crafted to serve the sorcerers. The construction of this armor is remarkably crude, now rusted over and severely dented. For a doll, the only thing that matters is that it does not break.",8.8,11.9,8.8,13.5,8.8,8.8,8.8,6.7,8.8,24,50,-,21,-,18,14,100,White,Yes,840100,84,0100,14351,14351,1,70,606090,-1,-1,-1,
Blue Silver Mail Armor,,-,Body,Chainmail armor made of motherly silver,"Chainmail armor crafted with blue silver. Worn by the wolf-riding Albinauric archers. Blue silver is a metal born from the same mother as the archers themselves, and provides protection from magic and frost.",9.2,12.4,9.5,12.9,11.4,10.9,10.2,8.0,8.0,25,60,-,18,-,18,14,500,Purple,Yes,240100,24,0100,13301,13301,1,70,606100,-1,-1,-1,
Blue Silver Mail Armor (Altered),,-,Body,Armor made of motherly silver,"Chainmail armor crafted with blue silver. Worn by the wolf-riding Albinauric archers. Blue silver is a metal born from the same mother as the archers themselves, and provides protection from magic and frost.",8.5,12.1,9.0,12.6,11.1,10.4,9.7,7.3,7.3,21,52,-,10,-,10,10,500,White,Yes,241100,24,1100,13311,13311,1,70,606110,-1,-1,-1,
Fire Monk Armor,,-,Body,Fire Monk armor adorned with a red cloth,Black iron armor adorned with a red cloth. Attire of the Fire Monks. The grotesque face sculpted on the chest is said to depict the corrupt ancient god of the flame. Taboos transform into lasting obsessions by virtue of the fear that they inspire.,11.8,14.0,12.4,13.5,12.4,10.9,13.3,9.5,9.5,32,55,-,24,-,24,16,100,White,Yes,350100,35,0100,13501,13501,1,70,606120,-1,-1,-1,
Blackflame Monk Armor,,-,Body,Godskin Monk armor adorned with a white cloth,"Black iron armor adorned with ashen cloth. Attire of the Blackflame Monks. The Blackflame Monks, enthralled by the god-slaying black flame, became traitors, abandoning their posts as guardians. The seduction of a taboo is never easily spurned.",11.8,13.5,11.4,14.6,12.9,10.2,13.0,8.0,10.2,32,55,-,21,-,32,19,100,White,Yes,351100,35,1100,13511,13511,1,70,606130,-1,-1,-1,
Zamor Armor,,-,Body,Armor worn by an ancient hero,"Armor worn by knights of Zamor, hailed as heroes in the War against the Giants. These long-lived warriors, clad in biting, freezing winds, are said to have been the mortal enemies of the Fire Giants since time immemorial.",8.8,11.9,9.5,12.4,10.9,8.8,8.8,6.1,8.0,21,63,-,11,-,18,14,500,Purple,Yes,1070100,107,0100,14811,14811,1,70,606140,-1,-1,-1,
Black Knife Armor,,-,Body,Armor used by the Black Blade Assassins,"Scale armor used by the Black Knife Assassins, forged to make no sound. Traces of power yet remain in its concealing veil, which muffles the sound of footsteps. The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be Numen who had close ties with Marika herself.",9.2,11.4,10.9,12.4,12.4,8.8,9.5,6.7,11.4,28,46,-,23,-,23,14,500,White,Yes,180100,18,0100,13191,13191,1,70,606150,6018010,-1,-1,
Black Knife Armor (Altered),,-,Body,Armor used by the Black Blade Assassins,"Armor used by the Black Knife Assassins. Crafted with scale armor that makes no sound. The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be Numen who had close ties with Marika herself.",9.0,11.3,10.8,12.3,12.3,8.7,9.4,6.6,11.3,25,42,-,21,-,21,12,500,White,Yes,181100,18,1100,13201,13201,1,70,606160,-1,-1,-1,
Malenia's Armor,,-,Body,Armor of Arbitress Malenia,"Armor made of unalloyed gold. Worn by Malenia, Blade of Miquella. Malenia awaited Miquella at the foot of the husk. ""My brother will keep his promise. He possesses the wisdom, the allure, of a god—he is the most fearsome Empyrean of all.""",7.7,10.9,7.1,11.4,9.5,6.1,7.1,4.2,7.1,38,32,-,11,-,11,9,2000,White,Yes,770100,77,0100,14171,14171,1,70,606170,-1,-1,-1,
Malenia's Armor (Altered),,-,Body,Armor of Arbitress Malenia,"Armor made of unalloyed gold. Worn by Malenia, Blade of Miquella. Malenia awaited Miquella at the foot of the husk. ""My brother will keep his promise. He possesses the wisdom, the allure, of a god—he is the most fearsome Empyrean of all.""",6.8,10.0,6.5,10.7,8.6,5.1,6.5,2.5,6.5,29,25,-,0,-,0,7,2000,White,Yes,771100,77,1100,14181,14181,1,70,606180,-1,-1,-1,
Elden Lord Armor,,-,Body,"Armor of Godfrey, the first Elden Lord","Armor of Godfrey, the first Elden Lord. The age of the Erdtree began amongst conflict, when Godfrey was lord of the battlefield. He led the War against the Giants. Faced the Storm Lord, alone. And then, there came a moment. When his last worthy enemy fell. And it was then, as the story is told, that the hue of Lord Godfrey's eyes faded.",9.2,11.9,10.9,11.4,12.4,8.8,11.4,7.1,8.0,32,55,-,18,-,21,14,2000,White,Yes,460100,46,0100,13651,13651,1,70,606190,-1,-1,-1,
Elden Lord Armor (Altered),,-,Body,"Armor of Godfrey, the first Elden Lord","Armor of Godfrey, the first Elden Lord. The age of the Erdtree began amongst conflict, when Godfrey was lord of the battlefield. He led the War against the Giants. Faced the Storm Lord, alone. And then, there came a moment. When his last worthy enemy fell. And it was then, as the story is told, that the hue of Lord Godfrey's eyes faded.",8.4,11.1,9.9,10.6,11.6,7.7,10.6,6.4,6.8,22,45,-,10,-,16,10,2000,White,Yes,461100,46,1100,13661,13661,1,70,606200,-1,-1,-1,
Knight Armor,,-,Body,Iron armor worn by foreign knights,"Iron armor of an unknown knight. It is made of thin iron plate. Such metal armor is heavy, but provides considerable damage negation.",10.6,12.4,11.9,13.5,13.5,10.9,10.9,9.5,8.8,28,50,-,18,-,18,19,200,White,Yes,1500100,150,0100,14991,14991,1,80,607000,-1,-1,-1,
Vagabond Knight Armor,,-,Body,Armor of a banished knight,"Chest piece of a knight banished from their motherland. Dirty and battered after enduring a lengthy vagabond journey. The crest emblazoned on the front is worn and dingy, no longer able to evoke sentiment. Metal armor is heavy, but also sturdy, offering significant damage negation.",10.6,13.5,11.4,12.4,11.9,10.2,10.9,8.8,8.8,35,57,-,23,-,23,15,100,White,Yes,660100,66,0100,14011,14011,1,80,607010,-1,-1,-1,
Vagabond Knight Armor (Altered),,-,Body,Chest Piece of a banished knight,"Chest piece of a knight banished from their motherland. Dirty and battered after enduring a lengthy vagabond journey. The crest emblazoned on the front is worn and dingy, no longer able to evoke sentiment. Metal armor is heavy, but also sturdy, offering significant damage negation.",9.6,13.2,10.5,12.2,11.7,9.1,10.5,8.3,8.3,29,50,-,19,-,19,12,100,White,Yes,661100,66,1100,14021,14021,1,80,607020,-1,-1,-1,
Carian Knight Armor,,-,Body,Armor of enchanted Carian knights,"Armor of the enchanted knights that once served the Carian royal family. The enchanted knights, anointed by the Lunar Queen, were all heroes of the highest honors, but fell into disarray with the decline of the royal family.",10.4,11.8,10.8,12.3,11.8,12.3,11.8,9.4,11.8,28,46,-,21,-,23,12,500,White,Yes,980100,98,0100,14641,14641,1,80,607030,-1,-1,-1,
Carian Knight Armor (Altered),,-,Body,Armor of enchanted Carian knights,"Armor of the enchanted knights that once served the Carian royal family. The enchanted knights, anointed by the Lunar Queen, were all heroes of the highest honors, but fell into disarray with the decline of the royal family.",9.7,11.7,9.8,12.2,11.7,11.7,11.7,9.1,11.7,22,38,-,16,-,19,8,500,Purple,Yes,981100,98,1100,14651,14651,1,80,607040,-1,-1,-1,
Godrick Knight Armor,,-,Body,Armor used by Stormveil Elite Knights,"Armor worn by knights loyal to Godrick the Grafted. Its left breast is emblazoned with a two-headed war axe, an emblem of the golden lineage. The knights surely boasted of their strength in days long gone.",11.8,13.5,11.9,14.0,12.9,10.9,11.9,9.5,10.9,35,57,-,24,-,24,19,200,Purple,Yes,1770100,177,0100,15091,15091,1,80,607050,-1,-1,-1,
Godrick Knight Armor (Altered),,-,Body,Armor used by Stormveil Elite Knights,"Armor worn by knights loyal to Godrick the Grafted. Its left breast is emblazoned with a two-headed war axe, an emblem of the golden lineage. The knights surely boasted of their strength in days long gone.",10.8,13.1,11.5,13.6,12.5,10.5,11.5,9.1,10.5,32,52,-,21,-,21,17,200,Purple,Yes,1771100,177,1100,15101,15101,1,80,607060,-1,-1,-1,
Cuckoo Knight Armor,,-,Body,Armor of Raya Lucaria Academy Elite Knights,"Armor worn by Raya Lucaria Academy knights. Its left breast is emblazoned with a peering cuckoo, whence came their name. Perhaps the bird's shrewd gaze is an expression of their refusal to be mere servants of the academy.",11.8,13.5,11.4,14.6,13.5,12.4,11.9,8.8,10.2,32,57,-,24,-,24,19,200,Purple,Yes,1780100,178,0100,15111,15111,1,80,607070,-1,-1,-1,
Cuckoo Knight Armor (Altered),,-,Body,Armor of Raya Lucaria Academy Elite Knights,"Armor worn by Raya Lucaria Academy knights. Its left breast is emblazoned with a peering cuckoo, whence came their name. Perhaps the bird's shrewd gaze is an expression of their refusal to be mere servants of the academy.",10.8,13.1,11.0,14.2,13.1,12.0,11.5,8.4,9.8,29,52,-,21,-,21,17,200,Purple,Yes,1781100,178,1100,15121,15121,1,80,607080,-1,-1,-1,
Redmane Knight Armor,,-,Body,Armor used by Elite Caelid Wilds Knights,"Armor worn by knights who fought by General Radahn's side. When they were driven to defeat by Malenia's scarlet rot, the Redmane Knights burned the crest on the left breast of their armor to indicate their resolve. ""Alas, dear home, I shan't see you again! For our duty is to remain here, a bulwark against the blight.""",11.8,13.5,11.4,13.5,12.4,10.9,12.8,9.5,10.9,35,55,-,24,-,25,19,200,White,Yes,1800100,180,0100,15151,15151,1,80,607090,-1,-1,-1,
Redmane Knight Armor (Altered),,-,Body,Armor used by Elite Caelid Wilds Knights,"Armor worn by knights who fought by General Radahn's side. When they were driven to defeat by Malenia's scarlet rot, the Redmane Knights burned the crest on the left breast of their armor to indicate their resolve. ""Alas, dear home, I shan't see you again! For our duty is to remain here, a bulwark against the blight.""",10.8,13.1,11.0,13.1,12.0,10.5,12.4,9.1,10.5,32,50,-,21,-,22,17,200,White,Yes,1801100,180,1100,15161,15161,1,80,607100,-1,-1,-1,
Gelmir Knight Armor,,-,Body,Armor used by Capital Knights,"Armor worn by knights once loyal to Praetor Rykard. It bears an emblem that none wear any longer, standing as it does for a lord that fell from lofty ambition into gluttonous depravity. As the lord lost his dignity, so too did these knights lose their master.",11.8,13.5,11.4,14.0,13.5,10.9,12.4,10.2,10.9,35,55,-,24,-,23,19,100,White,Yes,1760100,176,0100,15071,15071,1,80,607110,-1,-1,-1,
Gelmir Knight Armor (Altered),,-,Body,Armor used by Capital Knights,"Armor worn by knights once loyal to Praetor Rykard. It bears an emblem that none wear any longer, standing as it does for a lord that fell from lofty ambition into gluttonous depravity. As the lord lost his dignity, so too did these knights lose their master.",10.8,13.1,11.0,13.6,13.1,10.5,12.0,9.8,10.5,32,50,-,21,-,21,17,100,White,Yes,1761100,176,1100,15081,15081,1,80,607120,-1,-1,-1,
Leyndell Knight Armor,,-,Body,Armor used by Elite Capital Knights,"Armor worn by knights sworn to defend the royal capital of Leyndell. Its left breast is emblazoned with a symbol of Erdtree Worship, said to have once been imbued with an incantation of protection.",11.8,13.5,12.4,13.5,13.5,10.2,11.4,11.4,10.2,35,55,-,24,-,24,19,200,White,Yes,1790100,179,0100,15131,15131,1,80,607130,-1,-1,-1,
Leyndell Knight Armor (Altered),,-,Body,Armor used by Elite Capital Knights,"Armor worn by knights sworn to defend the royal capital of Leyndell. Its left breast is emblazoned with a symbol of Erdtree Worship, said to have once been imbued with an incantation of protection.",10.8,13.1,12.0,13.1,13.1,9.8,11.0,11.0,9.8,32,50,-,21,-,21,17,200,White,Yes,1791100,179,1100,15141,15141,1,80,607140,-1,-1,-1,
Haligtree Knight Armor,,-,Body,Armor used by Elite Knights of Miquella,"Armor worn by knights sworn to the Haligtree. Its left breast is emblazoned with the crest of the Haligtree. Though watered with Miquella's own blood since it was a sapling, the Haligtree ultimately failed to grow into an Erdtree.",11.8,13.5,12.4,13.5,13.5,10.2,11.4,9.5,11.4,35,57,-,24,-,25,16,200,White,Yes,1820100,182,0100,15191,15191,1,80,607150,-1,-1,-1,
Haligtree Knight Armor (Altered),,-,Body,Armor used by Elite Knights of Miquella,"Armor worn by knights sworn to the Haligtree. Its left breast is emblazoned with the crest of the Haligtree. Though watered with Miquella's own blood since it was a sapling, the Haligtree ultimately failed to grow into an Erdtree.",10.8,13.1,12.0,13.1,13.1,9.8,11.0,9.1,11.0,32,52,-,21,-,22,14,200,White,Yes,1821100,182,1100,15201,15201,1,80,607160,-1,-1,-1,
Mausoleum Knight Armor,,-,Body,Armor used by Elite Mausoleum Knights,"Armor worn by headless knights who endlessly guard the Wandering Mausoleum. The wing-shaped ornaments on its back evoke the Deathbird. A self-inflicted curse that ties the spirits of these loyal knights to the land, having willingly beheaded themselves so that they may serve their masters in death.",11.8,13.5,11.4,14.6,12.9,10.9,11.4,10.2,11.4,35,55,-,24,-,23,21,200,White,Yes,1810100,181,0100,15171,15171,1,80,607170,-1,-1,-1,
Mausoleum Knight Armor (Altered),,-,Body,Armor used by Elite Mausoleum Knights,"Armor worn by headless knights who endlessly guard the Wandering Mausoleum. The wing-shaped ornaments on its back evoke the Deathbird. A self-inflicted curse that ties the spirits of these loyal knights to the land, having willingly beheaded themselves so that they may serve their masters in death.",10.8,13.1,11.0,14.2,12.5,10.5,11.0,9.8,11.0,32,50,-,21,-,21,18,200,White,Yes,1811100,181,1100,15181,15181,1,80,607180,-1,-1,-1,
Bloodhound Knight Armor,,-,Body,Beast-like armor of the Bloodhound Knights,"Metal armor with a jutting breastplate. Worn by the Bloodhound Knights. The Bloodhound Knights are trained as hunters and known to be unshakable trackers. Without the use of language, each knight chooses his own master. Once the decision has been made, the knight stays loyal for life.",10.6,12.4,11.4,14.0,13.5,9.5,10.2,7.1,10.2,32,50,-,23,-,23,14,1000,White,Yes,790100,79,0100,14211,14211,1,80,607190,-1,-1,-1,
Bloodhound Knight Armor (Altered),,-,Body,Beast-like armor of the Bloodhound Knights,"Metal armor with a jutting breastplate. Worn by the Bloodhound Knights. The Bloodhound Knights are trained as hunters and known to be unshakable trackers. Without the use of language, each knight chooses his own master. Once the decision has been made, the knight stays loyal for life.",9.6,12.1,11.1,13.7,13.2,9.2,9.9,6.8,9.9,29,45,-,21,-,21,12,1000,White,Yes,791100,79,1100,14221,14221,1,80,607200,-1,-1,-1,
Cleanrot Armor,,-,Body,Armor of a Wing Knight. Somewhat decayed...,"Armor of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering. The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles the fiercest of all.",15.0,14.6,13.4,16.0,17.5,12.6,12.8,11.4,13.5,63,67,-,28,-,32,23,200,White,Yes,340100,34,0100,13481,13481,1,80,607210,-1,-1,-1,
Cleanrot Armor (Altered),,-,Body,Armor of a Wing Knight. Somewhat decayed…,"Armor of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering. The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles the fiercest of all.",13.7,13.5,12.4,14.6,16.0,11.9,12.4,10.2,13.0,52,54,-,22,-,22,17,200,White,Yes,341100,34,1100,13491,13491,1,80,607220,-1,-1,-1,
Raging Wolf Armor,,-,Body,Armor of Vargram the Bloody Wolf,"Armor worn by Vargram the Raging Wolf, one of the first Tarnished to visit the Roundtable Hold. According to the old legends, wolves are the shadows of the Empyrean, and this is what Vargram aspired to be.",10.1,13.2,11.6,13.2,12.6,9.9,11.1,6.8,9.2,31,55,-,17,-,17,15,200,White,Yes,860100,86,0100,14371,14371,1,90,608000,-1,-1,-1,
Raging Wolf Armor (Altered),,-,Body,Breastplate of Vargram the Bloody Wolf,"Armor worn by Vargram the Raging Wolf, one of the first Tarnished to visit the Roundtable Hold. According to the old legends, wolves are the shadows of the Empyrean, and this is what Vargram aspired to be.",9.0,12.8,10.8,12.8,12.3,8.7,10.8,6.6,8.7,25,50,-,10,-,10,12,200,White,Yes,861100,86,1100,14381,14381,1,90,608010,-1,-1,-1,
Hoslow's Armor,,-,Body,Armor passed down through the Hoslow family,"Garish silver armor decorated with red embellishments. Passed down through the Hoslow family. When Juno Hoslow received an invitation to the Volcano Manor, he discreetly refused. ""I have already walked many a road drenched in blood, yet never would I consider myself a champion.""",11.8,14.0,11.9,13.5,12.4,10.9,11.9,10.2,10.2,38,60,-,24,-,24,16,3000,White,Yes,650100,65,0100,13991,13991,1,90,608020,-1,-1,-1,
Hoslow's Armor (Altered),,-,Body,Armor passed down through the Hoslow family,"Garish silver armor decorated with red embellishments. Passed down through the Hoslow family. When Juno Hoslow received an invitation to the Volcano Manor, he discreetly refused. ""I have already walked many a road drenched in blood, yet never would I consider myself a champion.""",10.8,13.6,11.5,12.5,12.0,10.3,11.0,8.9,8.9,32,52,-,21,-,21,13,3000,White,Yes,652100,65,2100,14001,14001,1,90,608030,-1,-1,-1,
Twinned Armor,,-,Body,"Armor worn by D, Knight of the Golden Order","Armor depicting entwined twins of gold and silver. The two known as D are inseparable twins. They are of two bodies and two minds, but one single soul. Not once do they stand together; not one word do they speak to one another. Perhaps this armor longs to find its way to the other D.",13.7,14.6,13.4,16.0,13.5,12.4,12.4,10.2,11.4,38,60,-,24,-,60,21,1000,Purple,Yes,600100,60,0100,13881,13881,1,90,608040,-1,-1,-1,
Twinned Armor (Altered),,-,Body,"Armor worn by D, Knight of the Golden Order","Armor depicting entwined twins of gold and silver. The two known as D are inseparable twins. They are of two bodies and two minds, but one single soul. Not once do they stand together; not one word do they speak to one another. Perhaps this armor longs to find its way to the other D.",12.8,14.0,12.9,15.3,12.9,11.9,11.9,9.5,10.9,32,52,-,21,-,52,17,1000,Purple,Yes,601100,60,1100,13891,13891,1,90,608050,-1,-1,-1,
Drake Knight Armor,,-,Body,Malformed armor fused with dragon flesh,Black iron armor worn by drake knights. Features the spoils of a dragon catch as an emblem of pride as both dragon hunter and partaker of communion. The cape is crafted with dragon wing membrane.,9.2,11.4,9.5,11.9,11.4,10.2,11.4,8.8,10.2,25,46,-,21,-,21,14,500,White,Yes,60100,6,0100,13021,13021,1,90,608060,-1,-1,-1,
Drake Knight Armor (Altered),,-,Body,Malformed armor fused with dragon flesh,"Black iron armor worn by drake knights. Features the spoils of a dragon catch as an emblem of pride as both dragon hunter and partaker of communion. From birth, drake knights speak not a word. They spend their lives pursuing the strength of dragons, for its sublime beauty and inspiration of awe.",8.3,11.2,8.6,11.2,10.7,8.0,9.5,6.7,8.0,21,34,-,10,-,10,8,500,White,Yes,61100,6,1100,13031,13031,1,90,608070,-1,-1,-1,
Blaidd's Armor,,-,Body,"Armor of Blaidd, Knight of Ranni","Well-worn black armor of the man-wolf Blaidd. The pelt serves as a cape, protecting from cold. Blaidd was the blade of Ranni, but the cold bothered him anyway.",13.7,14.6,12.9,14.6,15.3,11.4,12.6,10.2,11.9,38,76,-,25,-,25,24,500,White,Yes,170100,17,0100,13171,13171,1,90,608080,-1,-1,-1,
